setting,ic50_cv,regimen,pct_at_target,lo,hi,n
IC50 10 mg/L,0.9,Ceiling,91.325,90.41258748875627,92.15811161182751,4000
IC50 10 mg/L,0.9,Standard,47.8,46.25483683959038,49.349384865883664,4000
IC50 10 mg/L,0.75,Ceiling,92.325,91.45884161999817,93.10993852355197,4000
IC50 10 mg/L,0.75,Standard,47.8,46.25483683959038,49.349384865883664,4000
IC50 10 mg/L,0.6,Ceiling,93.525,92.71983866510881,94.24663873000092,4000
IC50 10 mg/L,0.6,Standard,47.699999999999996,46.155072184372045,49.24934141680537,4000
IC50 10 mg/L,0.45,Ceiling,94.425,93.67040258486529,95.09434774891416,4000
IC50 10 mg/L,0.45,Standard,47.349999999999994,45.80594479733427,48.89914043880493,4000
IC50 10 mg/L,0.3,Ceiling,95.15,94.43985542341873,95.77350366651129,4000
IC50 10 mg/L,0.3,Standard,47.275,45.73114168865519,48.82408746926154,4000
IC50 10 mg/L,0.15,Ceiling,95.72500000000001,95.05298235022521,96.30927333941047,4000
IC50 10 mg/L,0.15,Standard,47.425,45.880751402116324,48.97418991224535,4000
IC50 10 mg/L,0.0,Ceiling,95.675,94.9995530103672,96.26279862712015,4000
IC50 10 mg/L,0.0,Standard,47.225,45.681274892232686,48.774050213535716,4000
"IC50 10 mg/L, flares",0.9,Ceiling,90.425,89.47394145755827,91.29848470435581,4000
"IC50 10 mg/L, flares",0.9,Standard,48.0,46.45438476987983,49.54945314418748,4000
"IC50 10 mg/L, flares",0.75,Ceiling,91.27499999999999,90.36037040449146,92.110424643944,4000
"IC50 10 mg/L, flares",0.75,Standard,47.925000000000004,46.37955138723109,49.47443044861376,4000
"IC50 10 mg/L, flares",0.6,Ceiling,92.325,91.45884161999817,93.10993852355197,4000
"IC50 10 mg/L, flares",0.6,Standard,47.599999999999994,46.05531373798346,49.14929175889732,4000
"IC50 10 mg/L, flares",0.45,Ceiling,93.45,92.64082619432969,94.17579512255756,4000
"IC50 10 mg/L, flares",0.45,Standard,47.15,45.606477612286774,48.69899141525916,4000
"IC50 10 mg/L, flares",0.3,Ceiling,94.175,93.40588467700861,94.85934539602923,4000
"IC50 10 mg/L, flares",0.3,Standard,47.3,45.75607566970718,48.8491055142837,4000
"IC50 10 mg/L, flares",0.15,Ceiling,94.675,93.9353189082918,95.32895168622919,4000
"IC50 10 mg/L, flares",0.15,Standard,47.15,45.606477612286774,48.69899141525916,4000
"IC50 10 mg/L, flares",0.0,Ceiling,94.85,94.12101150593226,95.49292327110786,4000
"IC50 10 mg/L, flares",0.0,Standard,46.975,45.43196423227603,48.523840612750796,4000
IC50 3 mg/L (shared model),0.9,Ceiling,98.875,98.49806596190334,99.1581450130763,4000
IC50 3 mg/L (shared model),0.9,Standard,79.625,78.34860632993099,80.84454456794668,4000
IC50 3 mg/L (shared model),0.75,Ceiling,99.35000000000001,99.04926707695205,99.55603239343658,4000
IC50 3 mg/L (shared model),0.75,Standard,81.075,79.83148760096576,82.2588808092131,4000
IC50 3 mg/L (shared model),0.6,Ceiling,99.575,99.32039021088792,99.73447749416815,4000
IC50 3 mg/L (shared model),0.6,Standard,82.27499999999999,81.06073664058145,83.427329021157,4000
IC50 3 mg/L (shared model),0.45,Ceiling,99.625,99.38216133539291,99.77261042181146,4000
IC50 3 mg/L (shared model),0.45,Standard,83.075,81.8813373389295,84.20519315718204,4000
IC50 3 mg/L (shared model),0.3,Ceiling,99.8,99.60581334698354,99.89862259273995,4000
IC50 3 mg/L (shared model),0.3,Standard,84.025,82.85702419151264,85.12768329541693,4000
IC50 3 mg/L (shared model),0.15,Ceiling,99.85000000000001,99.67310296383775,99.93123702803408,4000
IC50 3 mg/L (shared model),0.15,Standard,84.925,83.78266656588984,86.0003138597094,4000
IC50 3 mg/L (shared model),0.0,Ceiling,99.85000000000001,99.67310296383775,99.93123702803408,4000
IC50 3 mg/L (shared model),0.0,Standard,85.05,83.91133385611515,86.12140669985489,4000
