margin,mean_return,pct_at_target,pct_correct,dose_rate,policy,setting
1.0,-0.8904008762152293,64.75,74.0,1.1543635757899824,MAP-Bayes,main
0.9,-0.7673336484642503,78.25,87.5,1.2774349200355426,MAP-Bayes,main
0.8,-0.7159892271390654,84.25,93.5,1.4121790568423864,MAP-Bayes,main
0.7,-0.7054006322983597,87.0,96.0,1.5861982309822364,MAP-Bayes,main
0.6,-0.7142414234425296,87.25,96.0,1.7863459896466611,MAP-Bayes,main
0.5,-0.7528225752746563,87.5,96.25,2.011178515344048,MAP-Bayes,main
1.0,-0.579932788980444,70.25,81.0,1.2712559452121641,Oracle,main
0.9,-0.5534077637816809,85.75,96.5,1.380672032225099,Oracle,main
0.8,-0.5781700348204419,88.25,99.0,1.5055584576093057,Oracle,main
0.7,-0.6157774885266438,88.25,99.0,1.6575272530069882,Oracle,main
0.6,-0.6610836641218819,88.25,99.0,1.832669898515145,Oracle,main
0.5,-0.7181532325742629,88.25,99.0,2.052644050671324,Oracle,main
1.0,-0.4770400507990128,78.0,78.25,0.5525084102983846,MAP-Bayes,shared_ic50
0.9,-0.3845677409095572,88.5,88.75,0.5984557338099201,MAP-Bayes,shared_ic50
0.8,-0.32266968021827863,95.75,96.0,0.6669727544109412,MAP-Bayes,shared_ic50
0.7,-0.2958983166290232,98.75,99.0,0.7461823600554053,MAP-Bayes,shared_ic50
0.6,-0.2919307871989674,99.0,99.25,0.8587465350817007,MAP-Bayes,shared_ic50
0.5,-0.3053897169196157,99.25,99.5,1.005205237596503,MAP-Bayes,shared_ic50
1.0,-0.2153933936878478,85.5,85.75,0.6239531759236886,Oracle,shared_ic50
0.9,-0.18412525006824765,96.0,96.25,0.6806979540642089,Oracle,shared_ic50
0.8,-0.19593156791193134,98.75,99.0,0.7543721833833118,Oracle,shared_ic50
0.7,-0.21675519486797915,99.5,99.75,0.8472688568743536,Oracle,shared_ic50
0.6,-0.24599887046321725,99.5,99.75,0.9617986755868989,Oracle,shared_ic50
0.5,-0.28356248653464583,99.5,99.75,1.1073762919186072,Oracle,shared_ic50
